"UD. Andalucía","V. Gladiador",
"Esc. Ripollet","V. Mirasol",
"Sacachispas","UD. Lourdes B",
"UD. Lourdes A","V. Polinyà B",
"La Creueta","V. Singuerlín",
"V. Turó - Peira","Sabadell Nord",
"Jornada 20","28/02/2021",
"V. Singuerlín","V.C.S. TROYA",
"V. Gladiador","Can Buxeres",
"V. Mirasol","UD. Andalucía",
"UD. Lourdes B","Esc. Ripollet",
"V. Polinyà B","Sacachispas",
"V. Vilanova","UD. Lourdes A",
"Sabadell Nord","La Creueta",
"V. Turó - Peira","Gornal-Derbi",
"Jornada 21","07/03/2021",
"V.C.S. TROYA","Sabadell Nord",
"Gornal-Derbi","V. Gladiador",
"Can Buxeres","V. Mirasol",
"UD. Andalucía","UD. Lourdes B",
"Esc. Ripollet","V. Polinyà B",
"Sacachispas","V. Vilanova",
"UD. Lourdes A","V. Singuerlín",
"La Creueta","V. Turó - Peira",
"Jornada 22","14/03/2021",
"V. Turó - Peira","V.C.S. TROYA",
"V. Mirasol","V. Gladiador",
"UD. Lourdes B","Can Buxeres",
"V. Polinyà B","UD. Andalucía",
"V. Vilanova","Esc. Ripollet",
"V. Singuerlín","Sacachispas",
"Sabadell Nord","UD. Lourdes A",
"La Creueta","Gornal-Derbi",
"Jornada 23","21/03/2021",
"V.C.S. TROYA","La Creueta",
"Gornal-Derbi","V. Mirasol",
"V. Gladiador","UD. Lourdes B",
"Can Buxeres","V. Polinyà B",
"UD. Andalucía","V. Vilanova",
"Esc. Ripollet","V. Singuerlín",
"Sacachispas","Sabadell Nord",
"UD. Lourdes A","V. Turó - Peira",
"Jornada 24","28/03/2021",
"V.C.S. TROYA","Gornal-Derbi",
"UD. Lourdes B","V. Mirasol",
"V. Polinyà B","V. Gladiador",
"V. Vilanova","Can Buxeres",
"V. Singuerlín","UD. Andalucía",
"Sabadell Nord","Esc. Ripollet",
"V. Turó - Peira","Sacachispas",
"La Creueta","UD. Lourdes A",
"Jornada 25","11/04/2021",
"UD. Lourdes A","V.C.S. TROYA",
"Gornal-Derbi","UD. Lourdes B",
"V. Mirasol","V. Polinyà B",
"V. Gladiador","V. Vilanova",
"Can Buxeres","V. Singuerlín",
"UD. Andalucía","Sabadell Nord",
"Esc. Ripollet","V. Turó - Peira",
"Sacachispas","La Creueta",
"Jornada 26","18/04/2021",
"V.C.S. TROYA","Sacachispas",
"V. Polinyà B","UD. Lourdes B",
"V. Vilanova","V. Mirasol",
"V. Singuerlín","V. Gladiador",
"Sabadell Nord","Can Buxeres",
"V. Turó - Peira","UD. Andalucía",
"La Creueta","Esc. Ripollet",
"UD. Lourdes A","Gornal-Derbi",
"Jornada 27","25/04/2021",
"Esc. Ripollet","V.C.S. TROYA",
"Gornal-Derbi","V. Polinyà B",
"UD. Lourdes B","V. Vilanova",
"V. Mirasol","V. Singuerlín",
"V. Gladiador","Sabadell Nord",
"Can Buxeres","V. Turó - Peira",
"UD. Andalucía","La Creueta",
"Sacachispas","UD. Lourdes A",
"Jornada 28","02/05/2021",
"V.C.S. TROYA","UD. Andalucía",
"V. Vilanova","V. Polinyà B",
"V. Singuerlín","UD. Lourdes B",
"Sabadell Nord","V. Mirasol",
"V. Turó - Peira","V. Gladiador",
"La Creueta","Can Buxeres",
"UD. Lourdes A","Esc. Ripollet",
"Gornal-Derbi","Sacachispas",
"Jornada 29","09/05/2021",
"Can Buxeres","V.C.S. TROYA",
"V. Vilanova","Gornal-Derbi",
"V. Polinyà B","V. Singuerlín",
"UD. Lourdes B","Sabadell Nord",
"V. Mirasol","V. Turó - Peira",
"V. Gladiador","La Creueta",
"UD. Andalucía","UD. Lourdes A",
"Esc. Ripollet","Sacachispas",
"Jornada 30","16/05/2021",
"V.C.S. TROYA","V. Gladiador",
"V. Singuerlín","V. Vilanova",
"Sabadell Nord","V. Polinyà B",
"V. Turó - Peira","UD. Lourdes B",
"La Creueta","V. Mirasol",
"UD. Lourdes A","Can Buxeres",
"Sacachispas","UD. Andalucía",
"Gornal-Derbi","Esc. Ripollet"
